analysis_set,description,N_subject_rows,model_idx,model,k,sumNLL,sumAIC,sumBIC,dAIC,dBIC,group_wAIC,group_wBIC,n_bestAIC,n_bestBIC,summed_subject_BIC_weight,exp_r,xp,pxp,BOR,median_runnerup_delta_BIC,pct_runnerup_delta_BIC_gt2,pct_runnerup_delta_BIC_gt6,pct_runnerup_delta_BIC_gt10,mean_max_subject_BIC_weight
foods_2,Foods dataset 2,28,2,Cut off,2,237.266714369618,586.533428739235,634.619626472755,130.882166072178,130.882166072178,3.75898005379175e-29,3.75898005379196e-29,3,3,2.94317878002358,0.0386225770196598,0,0.00263563584492411,0.00790690753477232,0.312200955205611,7.14285714285714,0,0,0.524714097238413
foods_2,Foods dataset 2,28,3,Biased prior,2,171.825631333529,455.651262667057,503.737460400578,0,0,0.990310248698065,0.990310248698065,14,14,13.5091790631106,0.801951621899459,0.999954,0.994683092027898,0.00790690753477232,0.312200955205611,7.14285714285714,0,0,0.524714097238413
vacations_1,Vacations dataset 1,75,1,Cost to sample,2,606.07304487074,1512.14608974148,1687.95434888042,86.3771150778973,86.3771150778966,1.75165179906902e-19,1.75165179906962e-19,15,15,22.0453128187114,0.0859404021931344,0,8.24646665548828e-06,2.47393999664648e-05,1.66647864644017,44,6.66666666666667,1.33333333333333,0.680334515540986
vacations_1,Vacations dataset 1,75,2,Cut off,2,773.249747342368,1846.49949468474,2022.30775382368,420.730520021152,420.730520021152,4.36042070586223e-92,4.36042070586223e-92,17,17,14.5414589436419,0.112062907467382,0,8.24646665548828e-06,2.47393999664648e-05,1.66647864644017,44,6.66666666666667,1.33333333333333,0.680334515540986
vacations_1,Vacations dataset 1,75,3,Biased prior,2,562.884487331792,1425.76897466358,1601.57723380252,0,0,1,1,43,43,38.4132282376468,0.801996690339483,1,0.999983507066689,2.47393999664648e-05,1.66647864644017,44,6.66666666666667,1.33333333333333,0.680334515540986
vacations_2,Vacations dataset 2,36,1,Cost to sample,2,248.050694842032,640.101389684064,722.991006225012,0,0,0.999999987204273,0.999999987204273,14,14,13.5959734316788,0.519448296525052,0.963015,0.404017582970746,0.887746057445832,0.9213987462324,25,2.77777777777778,0,0.599554833827836
vacations_2,Vacations dataset 2,36,2,Cut off,2,285.700642508958,715.401285017917,798.290901558865,75.2998953338526,75.2998953338528,4.45487455009769e-17,4.45487455009744e-17,10,10,10.4344531680972,0.23878158270616,0.017674,0.297899328662646,0.887746057445832,0.9213987462324,25,2.77777777777778,0,0.599554833827836
vacations_2,Vacations dataset 2,36,3,Biased prior,2,266.224849339553,676.449698679106,759.339315220054,36.3483089950414,36.3483089950416,1.279572750623e-08,1.27957275062285e-08,12,12,11.969573400224,0.241770120768788,0.019311,0.298083088366608,0.887746057445832,0.9213987462324,25,2.77777777777778,0,0.599554833827836
faces_all,Facial attractiveness datasets 1-3 pooled,127,1,Cost to sample,2,1613.02063065322,3734.04126130643,4153.15659304626,311.188597154508,311.188597154508,2.66842322715657e-68,2.66842322715657e-68,22,22,32.1761916437081,0.023777445469799,0,2.83342099213596e-22,8.50026297640788e-22,2.37690808660939,55.9055118110236,8.66141732283465,3.93700787401575,0.699060183722791
faces_all,Facial attractiveness datasets 1-3 pooled,127,2,Cut off,2,2048.84575526829,4605.69151053658,5024.8068422764,1182.83884638465,1182.83884638465,1.41191326078309e-257,1.41191326078342e-257,15,15,17.3591080140489,0.0210692006117546,0,2.83342099213596e-22,8.50026297640788e-22,2.37690808660939,55.9055118110236,8.66141732283465,3.93700787401575,0.699060183722791
