model_idx,sub_idx,configured_Cs,configured_BP,estimated_Cs,estimated_BP,configured_mean_samples
13,5,-1.25,10,0.843041165035402,10.972950524496,5.41
13,6,-1.25,10,-1.11713280502313,14.5524187892644,5.41
13,7,-1.25,10,5.88099883666091,62.0665295075727,5.41
13,8,-1.25,10,-0.148419217266621,18.9761775164542,5.41
13,9,-1.25,10,-0.80756012161099,13.6498205293598,5.41
13,10,-1.25,10,-2.54692013064876,5.23184509176929,5.41
13,11,-1.25,10,-1.5197013167422,1.87920070531345,5.41
13,12,-1.25,10,-1.15737335144614,10.2755660584206,5.41
13,13,-1.25,10,0.0605206562403851,18.9726281805035,5.41
13,14,-1.25,10,-1.93333746855791,-8.81437837912218,5.41
13,15,-1.25,10,-2.02443193289592,10.7140946400503,5.41
13,16,-1.25,10,-0.628908978001007,9.88523665506654,5.41
13,17,-1.25,10,-0.968239611400051,18.6742928643073,5.41
13,18,-1.25,10,-1.31411586129676,11.8891854224754,5.41
13,19,-1.25,10,-2.15018078975378,1.84623442638001,5.41
13,20,-1.25,10,-2.86094858833405,-74.3074237981334,5.41
14,1,0.875,10,-1.28458629844211,-13.022829985954,4.14
14,2,0.875,10,1.61996374822905,13.5511439133012,4.14
14,3,0.875,10,0.87759255571072,12.1276098692266,4.14
14,4,0.875,10,-0.329920294775562,-5.16491164547472,4.14
14,5,0.875,10,0.843041165035402,10.972950524496,4.14
14,6,0.875,10,0.864200730655426,10.5546140249214,4.14
14,7,0.875,10,0.519768075600396,7.89986131542886,4.14
14,8,0.875,10,4.03612667195239,24.5491381558128,4.14
14,9,0.875,10,1.14544487818964,7.20029615100322,4.14
14,10,0.875,10,3.41896447663976,15.480146946545,4.14
14,11,0.875,10,3.10836696450384,16.3433579597995,4.14
14,12,0.875,10,0.757826862883178,12.4372406380929,4.14
14,13,0.875,10,3.67644743594514,23.6402707739179,4.14
14,14,0.875,10,0.671426957582241,9.08883427882922,4.14
14,15,0.875,10,2.02698136641746,20.8097707811784,4.14
14,16,0.875,10,0.972712272061642,12.4180188038138,4.14
14,17,0.875,10,1.32627843298478,9.25713700245218,4.14
14,18,0.875,10,1.68577714917852,15.1348318806258,4.14
14,19,0.875,10,0.455396587389117,6.23490655937569,4.14
14,20,0.875,10,0.69834223375176,11.7821871066637,4.14
15,1,3,10,1.59228247572149,-5.37910840146405,2.94
15,2,3,10,2.02258290135664,7.21810634733913,2.94
15,3,3,10,3.16202706581615,11.4394483617827,2.94
15,4,3,10,4.06523929961963,7.05441642953559,2.94
15,5,3,10,0.843041165035402,10.972950524496,2.94
15,6,3,10,6.81475339424182,23.8200542482037,2.94
15,7,3,10,1.11933327186719,4.99604688966267,2.94
15,8,3,10,1.78860199774864,4.48435566287621,2.94
15,9,3,10,6.05951976465073,30.1798424337183,2.94
15,10,3,10,3.41896447663976,15.480146946545,2.94
15,11,3,10,3.10836696450384,16.3433579597995,2.94
15,12,3,10,1.93321673521403,4.48257744985665,2.94
15,13,3,10,1.13866173442412,-2.16029524186413,2.94
15,14,3,10,2.25236613521346,10.0361494573189,2.94
15,15,3,10,6.05812841121873,16.9716317590547,2.94
15,16,3,10,1.78084167564975,4.41392797555879,2.94
15,17,3,10,3.54900957491986,10.6223616395839,2.94
15,18,3,10,1.33236929208726,0.362632876373908,2.94
15,19,3,10,2.82692142507051,11.2825402416774,2.94
15,20,3,10,1.88642110208232,3.70283452489622,2.94
16,1,-5.5,40,-12.6361600297664,-20.7486109827587,7.48
16,2,-5.5,40,-14.5035240132065,-7.83456403327952,7.48
16,3,-5.5,40,-32.5568154457158,35.8367949545303,7.48
16,4,-5.5,40,-14.3536263761417,-5.72926945141225,7.48
16,5,-5.5,40,-2.3374340154313,59.0263860250509,7.48
16,6,-5.5,40,-10.8741198600938,-16.7447140421197,7.48
16,7,-5.5,40,-5.38137042520459,32.0065252937403,7.48
16,8,-5.5,40,-4.08617464552285,29.4639018852839,7.48
16,9,-5.5,40,-2.81466974569166,61.6387930647339,7.48
16,10,-5.5,40,-5.4724626182204,25.2745934011422,7.48
16,11,-5.5,40,-4.41463258992954,29.2449903848561,7.48
16,12,-5.5,40,-8.08671441005744,23.591466621272,7.48
16,13,-5.5,40,-5.09634395046058,49.6227675980353,7.48
16,14,-5.5,40,-15.6237270372735,6.53639742059877,7.48
16,15,-5.5,40,-8.81314912814398,-9.45741801484749,7.48
16,16,-5.5,40,-6.01099785681515,36.0784820088591,7.48
16,17,-5.5,40,-15.1720343296389,28.4503197629736,7.48
16,18,-5.5,40,-1.4772696639003,75.7969363915586,7.48
16,19,-5.5,40,-3.1206984295704,41.4035456022483,7.48
16,20,-5.5,40,-11.2543156224907,7.09285540749984,7.48
17,1,-3.375,40,-12.6361600297664,-20.7486109827587,7.31
17,2,-3.375,40,-2.58715908551744,57.0500507106894,7.31
17,3,-3.375,40,-9.33911096667914,-0.526401614757944,7.31
17,4,-3.375,40,0.196095697403393,65.2726676377523,7.31
17,5,-3.375,40,-2.3374340154313,59.0263860250509,7.31
