Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,rand_food1,chosen food,not chosen food,rand_food2,rand_food3,rand_food4,rand_food5,rand_food6,rand_food7,rand_food8,image_food,Participant_preference,food_rating,random number,fixation_times
46,1551714940668,04/03/2019 15:55:40,1551714940245,-5,04/03/2019 10:55:40,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
47,1551714943032,04/03/2019 15:55:43,1551714942722,-5,04/03/2019 10:55:42,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,rating19,response_slider_endValue,2478,87,,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
48,1551714943183,04/03/2019 15:55:43,1551714942723,-5,04/03/2019 10:55:42,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,Zone4,continue_button,2478,,,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
49,1551714946980,04/03/2019 15:55:46,1551714946649,-5,04/03/2019 10:55:46,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,17,next sequence?,advancementZone,continue_button,3920,,,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
50,1551714950409,04/03/2019 15:55:50,1551714950123,-5,04/03/2019 10:55:50,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,1,option1,choice,response_button_image,2351,b27.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,b27.jpg,,,c12.jpg,b9.jpg,a7.jpg,b22.jpg,c4.jpg,a12.jpg,c16.jpg,,,,,
51,1551714951818,04/03/2019 15:55:51,1551714951562,-5,04/03/2019 10:55:51,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,9,grey1,Zone1,continue_button,1434,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b27.jpg,,,c12.jpg,b9.jpg,a7.jpg,b22.jpg,c4.jpg,a12.jpg,c16.jpg,,,,,
52,1551714951989,04/03/2019 15:55:51,1551714951719,-5,04/03/2019 10:55:51,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,10,grey2,Zone1,continue_button,149,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b27.jpg,,,c12.jpg,b9.jpg,a7.jpg,b22.jpg,c4.jpg,a12.jpg,c16.jpg,,,,,
53,1551714952193,04/03/2019 15:55:52,1551714951876,-5,04/03/2019 10:55:51,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,11,grey3,Zone1,continue_button,152,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b27.jpg,,,c12.jpg,b9.jpg,a7.jpg,b22.jpg,c4.jpg,a12.jpg,c16.jpg,,,,,
54,1551714952349,04/03/2019 15:55:52,1551714952040,-5,04/03/2019 10:55:52,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,12,grey4,Zone1,continue_button,158,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b27.jpg,,,c12.jpg,b9.jpg,a7.jpg,b22.jpg,c4.jpg,a12.jpg,c16.jpg,,,,,
55,1551714952474,04/03/2019 15:55:52,1551714952185,-5,04/03/2019 10:55:52,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,13,grey5,Zone1,continue_button,140,,,0,1,0,,,,Spreadsheet1,,1,sequence,,b27.jpg,,,c12.jpg,b9.jpg,a7.jpg,b22.jpg,c4.jpg,a12.jpg,c16.jpg,,,,,
