Subject,BestFitModel,Source,NObs,MeanStop,LTM_Intercept,LTM_Slope,LTM_Beta,LTM_NLL,LTM_BIC,LTM_Converged,ITM_Beta,ITM_NLL,ITM_BIC,ITM_Converged,LTM_T1,LTM_T2,LTM_T3,LTM_T4,LTM_T5,LTM_T6,LTM_T7,ITM_T1,ITM_T2,ITM_T3,ITM_T4,ITM_T5,ITM_T6,ITM_T7,LinearAdvantageBIC,DeltaNLL_ITMminusLTM
39,Cost-to-sample,Participants,206,0.111650485436893,2.53820041455917,-0.0823353581563073,1.01198850944504,67.4201690772395,150.823966660848,1,1.0817060726,63.8457725020959,170.314554354509,1,2.53820041455917,2.45586505640286,2.37352969824656,2.29119434009025,2.20885898193394,2.12652362377764,2.04418826562133,2.11544390541352,3.67489197046435,1.64566948727652,2.68420792591829,2.33576106537918,1.57618665922644,2.26097422755491,19.4905876936607,-3.5743965751436
39,Cost-to-sample,Winning model,280,0.180658588371128,4.99999999999995,-0.714586680943637,0.63935564041186,114.618817360065,246.142003529639,1,0.613394314740281,114.574068452493,274.226453730339,1,4.99999999999995,4.28541331905631,3.57082663811267,2.85623995716904,2.1416532762254,1.42706659528176,0.712479914338128,4.99999999999954,4.59636876230948,3.7399864416504,3.01564129300903,2.20789522397437,1.53553212132022,0.674633326882216,28.0844502007006,-0.0447489075728242
40,Biased-prior,Participants,185,0.140540540540541,1.48459567523779,-0.0428268906798901,2.06923114378988,50.5933103883587,116.847688251952,1,2.18677239288164,49.5669740905666,140.89679478176,1,1.48459567523779,1.4417687845579,1.39894189387801,1.35611500319812,1.31328811251823,1.27046122183834,1.22763433115845,1.28216488439415,1.44226503557567,1.55995068502035,1.49174029503774,1.29723061872369,0.818829841962073,1.18553929219664,24.0491065298075,-1.02633629779205
40,Biased-prior,Winning model,280,0.228907005966385,2.33749746850738,-0.309788606895669,1.13101914096382,120.323248097965,257.550865005437,1,1.13695354797087,120.117635096596,285.313587018547,1,2.33749746850738,2.02770886161172,1.71792025471605,1.40813164782038,1.09834304092471,0.788554434029038,0.478765827133368,2.4365156256275,1.97073319471484,1.60102504403587,1.38456019323932,1.1658304570611,0.917767740017668,0.384135854965749,27.7627220131094,-0.205613001368405
41,Biased-prior,Participants,221,0.104072398190045,2.19334393233744,-0.126857346808531,1.68348911431645,53.5338327702329,123.262153645019,1,1.69096203167763,52.6837853059263,148.552872223995,1,2.19334393233744,2.06648658552891,1.93962923872038,1.81277189191185,1.68591454510331,1.55905719829478,1.43219985148625,2.55986647991046,1.84502776390368,1.81729489126686,2.01533686877352,1.67346914498242,1.36179181135456,1.67253166753897,25.2907185789755,-0.850047464306613
41,Biased-prior,Winning model,280,0.122492190653699,3.95916744036598,-0.403879180554602,0.871640191539604,87.9584957732309,192.82136035597,1,0.866006845979675,87.8364154944957,220.751147814345,1,3.95916744036598,3.55528825981138,3.15140907925677,2.74752989870217,2.34365071814757,1.93977153759297,1.53589235703837,4.32093512589167,3.57697231262004,2.9732148346111,2.71114805012231,2.34382346329765,2.05893504498823,1.51634303256118,27.9297874583759,-0.122080278735169
42,Biased-prior,Participants,108,0.361111111111111,4.27648744499773,-0.634847099747529,0.168083447327309,69.9043101442049,153.855013969782,1,0.224858816515318,67.6624999363739,172.782049689742,1,4.27648744499773,3.6416403452502,3.00679324550267,2.37194614575514,1.73709904600761,1.10225194626008,0.467404846512554,4.26743458693507,0.241975912358948,3.28875365713498,4.99999999999892,-0.13236211814242,-0.0290169359580519,0.865873392481776,18.9270357199593,-2.24181020783092
42,Biased-prior,Winning model,280,0.397288505095277,1.74354828449911,-0.226558661901689,0.408318441360959,181.922059226116,380.748487261739,1,0.407555554861226,181.868300484521,408.814917794397,1,1.74354828449911,1.51698962259742,1.29043096069573,1.06387229879404,0.837313636892354,0.610754974990665,0.384196313088975,1.75492748945724,1.3476111122662,1.40677913071235,1.11383036260032,0.969289577031725,0.52966153742358,0.335762677920794,28.0664305326575,-0.0537587415944074
43,Biased-prior,Participants,205,0.117073170731707,2.73207419472325,-0.233825566496323,1.18784097140553,54.0105650669323,123.99016007128,1,1.3341964158826,47.2495224091182,137.083124651344,1,2.73207419472325,2.49824862822692,2.2644230617306,2.03059749523428,1.79677192873796,1.56294636224163,1.32912079574531,2.66112521092866,4.99999999999973,1.83585754874037,0.957081186945822,1.98319816580571,1.97133766401551,1.40266727604626,13.0929645800638,-6.76104265781412
43,Biased-prior,Winning model,280,0.191367321455701,3.86803110410134,-0.544784781532968,0.809312572522428,111.27352649594,239.451421801388,1,0.821785374806626,111.124732516149,267.327781857652,1,3.86803110410134,3.32324632256837,2.7784615410354,2.23367675950244,1.68889197796947,1.1441071964365,0.59932241490353,3.9355457182078,3.15198826806441,2.59035582396365,2.24152512034933,1.75293146651768,1.26603305247344,0.474639347425268,27.8763600562644,-0.148793979790909
