Subject,Sequence,Position,BestFitModel,Source,XValue,StopResponse
4,11,1,Biased-prior,Participants,-1.22022693807049,0
4,11,2,Biased-prior,Participants,1.30159603956895,0
4,11,3,Biased-prior,Participants,-0.847435715289006,0
4,11,4,Biased-prior,Participants,1.25773824865348,1
4,12,1,Biased-prior,Participants,1.36738272594216,0
4,12,2,Biased-prior,Participants,0.709515862210127,0
4,12,3,Biased-prior,Participants,0.139364580309036,0
4,12,4,Biased-prior,Participants,0.249009057597707,0
4,12,5,Biased-prior,Participants,1.10423598044934,0
4,12,6,Biased-prior,Participants,-0.540431178880727,0
4,12,7,Biased-prior,Participants,1.32352493502669,1
4,13,1,Biased-prior,Participants,0.358653534886379,0
4,13,2,Biased-prior,Participants,-0.233426642472447,0
4,13,3,Biased-prior,Participants,1.12616487590708,0
4,13,4,Biased-prior,Participants,-1.35180031081689,0
4,13,5,Biased-prior,Participants,0.687586966752393,0
4,13,6,Biased-prior,Participants,0.16129347576677,0
4,13,7,Biased-prior,Participants,1.12616487590708,0
4,14,1,Biased-prior,Participants,-0.628146760711664,0
4,14,2,Biased-prior,Participants,-1.4833736835633,0
4,14,3,Biased-prior,Participants,-0.386928910676587,0
4,14,4,Biased-prior,Participants,1.03844929407614,0
4,14,5,Biased-prior,Participants,0.249009057597707,0
4,14,6,Biased-prior,Participants,-1.28601362444369,0
4,14,7,Biased-prior,Participants,-0.0141376878951039,0
4,15,1,Biased-prior,Participants,1.34545383048442,0
4,15,2,Biased-prior,Participants,1.27966714411122,1
4,16,1,Biased-prior,Participants,-0.606217865253929,0
4,16,2,Biased-prior,Participants,-0.299213328845649,0
4,16,3,Biased-prior,Participants,-0.803577924373538,1
4,17,1,Biased-prior,Participants,-0.343071119761118,0
4,17,2,Biased-prior,Participants,0.0955067893935675,0
4,17,3,Biased-prior,Participants,0.16129347576677,0
4,17,4,Biased-prior,Participants,-0.277284433387915,1
4,18,1,Biased-prior,Participants,-0.14571106064151,0
4,18,2,Biased-prior,Participants,-1.30794251990143,0
4,18,3,Biased-prior,Participants,-1.00093798349315,0
4,18,4,Biased-prior,Participants,-0.737791238000335,0
4,18,5,Biased-prior,Participants,-1.24215583352822,0
4,18,6,Biased-prior,Participants,-0.343071119761118,0
4,18,7,Biased-prior,Participants,0.183222371224505,1
4,19,1,Biased-prior,Participants,0.446369116717316,0
4,19,2,Biased-prior,Participants,-0.606217865253929,0
4,19,3,Biased-prior,Participants,0.77530254858333,0
4,19,4,Biased-prior,Participants,0.709515862210127,1
4,20,1,Biased-prior,Participants,-1.43951589264783,0
4,20,2,Biased-prior,Participants,-1.46144478810557,0
