Subject,Model,BestFitModel,MeanLinearSlope,MeanLinearR2,MeanQuadTerm,MeanQuadR2,MeanDeltaBIC_QuadMinusLinear,NSequencesLinear,NSequencesQuadratic
45,Biased-prior,Biased-prior,-0.00386850277588036,0.548369559203225,-0.00913723591004166,0.887187603870932,-22.141857291493,36,32
45,Cost-to-sample,Biased-prior,-0.123751266107976,0.98249631163926,-0.0108670400077428,0.994994489883896,-22.5095406497542,36,32
46,Biased-prior,Cut off,0.0107786563258679,0.871008686426695,-5.24537187707599e-05,0.93415283183942,-13.5987652688953,31,30
46,Cost-to-sample,Cut off,-0.574983848692883,0.999722952146362,-0.000327760994997403,0.999874505499841,-13.0910586400655,31,30
47,Biased-prior,Biased-prior,-0.0206831544539274,0.564651740359348,-0.0155313511365108,0.953011080911257,-20.4506313332496,29,27
47,Cost-to-sample,Biased-prior,-0.061059066670726,0.920752302711256,-0.0147508374802056,0.988926892343355,-19.9755522547028,29,27
48,Biased-prior,Biased-prior,-0.0637941836818893,0.915607900024392,-0.00163665975764764,0.98797324321376,-30.0756573287947,4,4
48,Cost-to-sample,Biased-prior,0.000703673981830249,0.430097225258013,0.00450625388786866,0.765602130311101,-23.52131269902,4,4
49,Biased-prior,Cost-to-sample,-0.0527427419044736,0.98848763147576,-0.0262113001455887,1,-83.9665646067617,3,1
49,Cost-to-sample,Cost-to-sample,-0.0158798439354748,0.999951243128294,0.000636097591431442,1,-61.6550011898662,3,1
50,Biased-prior,Biased-prior,-0.0154497014648853,0.772209834636586,-0.0137002437926471,0.969646404954291,-31.7332210031858,23,17
50,Cost-to-sample,Biased-prior,-0.0407284912278842,0.932848113876124,-0.0121561924552382,0.984847996622139,-29.8319305160819,23,17
51,Biased-prior,Biased-prior,0.0164358864987939,0.86624834451906,-0.00111045455404001,0.920139974840105,-11.5990380605958,22,17
51,Cost-to-sample,Biased-prior,-0.110156600691682,0.986551891972598,-0.00924077502230052,0.996757281736652,-18.6607849495498,22,17
52,Biased-prior,Cost-to-sample,0.00887017199048891,0.767319183282,-0.00183234645600337,0.89399897365695,-20.6753324552021,33,28
52,Cost-to-sample,Cost-to-sample,-0.209947157648763,0.998814185935307,-0.000254013899464057,0.99949419723002,-23.105100981925,33,28
53,Biased-prior,Biased-prior,0.00541935650388476,0.48584317043522,-0.00444221290937543,0.837705239421355,-11.23029057053,40,40
53,Cost-to-sample,Biased-prior,-0.14843215898555,0.994488842863554,-0.00611031513683329,0.998310655403364,-11.3204072770754,40,40
54,Biased-prior,Biased-prior,-0.0120122564638161,0.666464215945186,-0.0107907754814087,0.939074334861676,-22.7625273265058,22,19
54,Cost-to-sample,Biased-prior,-0.0661123352581929,0.944190035495087,-0.00979727321389241,0.987879371911682,-23.3826747223607,22,19
55,Biased-prior,Cut off,0.0140356108353661,0.847391116783406,-0.000784010363686551,0.91353257179623,-8.50771829221855,27,21
55,Cost-to-sample,Cut off,-0.147940635757767,0.995329082732512,-0.00355614259090355,0.997820270986027,-7.92939147260318,27,21
