Subject,Model,BestFitModel,Position,MeanThreshold,NObs
21,Biased-prior,Biased-prior,1,0.750177043303343,40
21,Biased-prior,Biased-prior,2,0.76498909568252,40
21,Biased-prior,Biased-prior,3,0.780194944166978,40
21,Biased-prior,Biased-prior,4,0.796869269737004,40
21,Biased-prior,Biased-prior,5,0.817182937985838,40
21,Biased-prior,Biased-prior,6,0.842663847391843,40
21,Biased-prior,Biased-prior,7,0.812895530354225,40
21,Cost-to-sample,Biased-prior,1,1.71305892150545,40
21,Cost-to-sample,Biased-prior,2,1.54985611852947,40
21,Cost-to-sample,Biased-prior,3,1.38360000787354,40
21,Cost-to-sample,Biased-prior,4,1.20912393129603,40
21,Cost-to-sample,Biased-prior,5,1.03712897784543,40
21,Cost-to-sample,Biased-prior,6,0.853351486213708,40
21,Cost-to-sample,Biased-prior,7,0.618012702609065,40
22,Biased-prior,Cost-to-sample,1,0.885899897121128,40
22,Biased-prior,Cost-to-sample,2,0.896242262534458,40
22,Biased-prior,Cost-to-sample,3,0.904748790911389,40
22,Biased-prior,Cost-to-sample,4,0.911677709408112,40
22,Biased-prior,Cost-to-sample,5,0.911487795053634,40
22,Biased-prior,Cost-to-sample,6,0.88262850527949,40
22,Biased-prior,Cost-to-sample,7,0.769348298292519,40
22,Cost-to-sample,Cost-to-sample,1,1.38678446923884,40
22,Cost-to-sample,Cost-to-sample,2,1.29513647163231,40
22,Cost-to-sample,Cost-to-sample,3,1.19818247219258,40
22,Cost-to-sample,Cost-to-sample,4,1.10146134468739,40
22,Cost-to-sample,Cost-to-sample,5,1.00246977986335,40
22,Cost-to-sample,Cost-to-sample,6,0.89196398702256,40
22,Cost-to-sample,Cost-to-sample,7,0.733254251090991,40
23,Biased-prior,Biased-prior,1,0.788119521818753,40
23,Biased-prior,Biased-prior,2,0.804487533751879,40
23,Biased-prior,Biased-prior,3,0.815912957244189,40
23,Biased-prior,Biased-prior,4,0.818423785976235,40
23,Biased-prior,Biased-prior,5,0.800816006522271,40
23,Biased-prior,Biased-prior,6,0.745467256613845,40
23,Biased-prior,Biased-prior,7,0.605521430690434,40
23,Cost-to-sample,Biased-prior,1,1.63066526713744,40
23,Cost-to-sample,Biased-prior,2,1.48820398582956,40
23,Cost-to-sample,Biased-prior,3,1.33752554816681,40
23,Cost-to-sample,Biased-prior,4,1.17777705487536,40
23,Cost-to-sample,Biased-prior,5,1.01825855686629,40
23,Cost-to-sample,Biased-prior,6,0.841960926733444,40
23,Cost-to-sample,Biased-prior,7,0.625328213588027,40
24,Biased-prior,Biased-prior,1,0.785082613527735,40
24,Biased-prior,Biased-prior,2,0.797464423313411,40
24,Biased-prior,Biased-prior,3,0.798935778776278,40
24,Biased-prior,Biased-prior,4,0.786019537521672,40
24,Biased-prior,Biased-prior,5,0.754307874059655,40
24,Biased-prior,Biased-prior,6,0.686926533116947,40
