Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
2,12,Cost-to-sample,Biased-prior,5,-0.0188225893708131,0.839051845450151,-41.2983149900126,-0.00619354386149011,0.966237032177557,-47.4974656595706,-6.19915066955802
2,13,Biased-prior,Biased-prior,7,-0.0437984541116848,0.954850971288572,-51.5594193357509,-0.00478548651865873,0.989048244560785,-59.5287922542616,-7.96937291851074
2,13,Cost-to-sample,Biased-prior,7,-0.0492895600036169,0.964784430567849,-51.7176356949497,-0.00493362452974648,0.993782817992037,-61.9109263785092,-10.1932906835595
2,14,Biased-prior,Biased-prior,3,-0.0243091057686751,0.959122352003435,-30.7869021212188,-0.0086923169614446,1,-108.130960167351,-77.3440580461327
2,14,Cost-to-sample,Biased-prior,3,-0.0276504756548328,0.959948870570135,-30.0780142865442,-0.00978242589739759,1,-108.130960167351,-78.0529458808073
2,15,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,15,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,16,Biased-prior,Biased-prior,3,-0.0293750437205552,0.595622186129683,-21.3466004350513,-0.0419225195498594,1,-108.130960167351,-86.7843597323002
2,16,Cost-to-sample,Biased-prior,3,-0.0300957294520189,0.67763703805437,-22.268203765051,-0.0359533615830081,1,-108.130960167351,-85.8627564023004
2,17,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,17,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,18,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,18,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,19,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,19,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,20,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,20,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,21,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,21,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,22,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,22,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,26,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,26,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,27,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,27,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,28,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,28,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,29,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,29,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,30,Biased-prior,Biased-prior,7,-0.0561596727950149,0.920816127315776,-43.8923220616669,-0.00893619723383536,0.990760136996108,-56.9841310512635,-13.0918089895966
2,30,Cost-to-sample,Biased-prior,7,-0.0619687115490894,0.937399760137023,-44.2842636453863,-0.00861860401709669,0.991796768389445,-56.5640400363879,-12.2797763910016
2,31,Biased-prior,Biased-prior,5,-0.0149290715009478,0.675521837713987,-39.0261731061534,-0.00849182571747799,0.981509543439739,-51.7415526937495,-12.7153795875961
2,31,Cost-to-sample,Biased-prior,5,-0.0199068148020556,0.791219983093506,-39.143794256049,-0.00768764550363419,0.956419368845065,-45.3676980179751,-6.22390376192612
2,32,Biased-prior,Biased-prior,2,-0.0381837598851804,1,-72.0873067782343,NaN,NaN,NaN,NaN
2,32,Cost-to-sample,Biased-prior,2,-0.0337421338473892,1,-72.0873067782343,NaN,NaN,NaN,NaN
2,33,Biased-prior,Biased-prior,5,-0.0711249998783629,0.696876574765245,-23.910893393902,-0.0285260427496549,0.85381251074509,-25.9477059601386,-2.03681256623656
2,33,Cost-to-sample,Biased-prior,5,-0.0763796964079005,0.718531896916333,-23.7217268302065,-0.0287896458400512,0.861451195725649,-25.6562713659366,-1.93454453573011
2,34,Biased-prior,Biased-prior,3,-0.0132837522853111,0.41704906246931,-23.9417550155716,-0.0272021871107361,1,-108.130960167351,-84.1892051517798
2,34,Cost-to-sample,Biased-prior,3,-0.0191335742242838,0.545543228725556,-23.3050725481153,-0.0302474270036408,1,-108.130960167351,-84.8258876192362
2,35,Biased-prior,Biased-prior,3,0.00964505026952723,0.97999244948149,-38.5413386873181,-0.00238699065707243,1,-108.130960167351,-69.5896214800333
2,35,Cost-to-sample,Biased-prior,3,0.00316465057450356,0.732048832030582,-36.5685739438403,-0.0033162265565312,1,-108.130960167351,-71.5623862235112
